fid,NIC,CT,Circuito,kW INSTALA,kWp INSTAL,X1,Y1,TECH,DSSName,KVA,CURVE1,CURVE2,LV_GROUP,CARGAS_BT_,CARGAS_B_1
229,8384297,161712,VOLG101,0,9.78,19.44579,-70.65059,PV,,8.891,Irr.txt,TEMPPV.txt,0,326725,2150985
75,6124587,149748,VOLG101,5,5.53,19.44134,-70.65047,PV,,5.027,Irr.txt,TEMPPV.txt,0,326733,2150493
64,6089171,152395,VOLG101,12.8,12,19.45326,-70.65047,PV,,10.909,Irr.txt,TEMPPV.txt,0,326745,2151812
128,6428217,152395,VOLG101,7.7,8.455,19.45339,-70.65045,PV,,7.686,Irr.txt,TEMPPV.txt,0,326747,2151827
282,8528519,212365,VOLG101,7,7.04,19.44409,-70.65035,PV,,6.4,Irr.txt,TEMPPV.txt,0,326748,2150797
14,2255602,172653,VOLG101,0,8.7,19.45672,-70.65047,PV,,7.909,Irr.txt,TEMPPV.txt,0,326749,2152195
123,6374575,151523,VOLG101,6,6.825,19.45283,-70.65042,PV,,6.205,Irr.txt,TEMPPV.txt,0,326750,2151765
95,6209045,149748,VOLG101,0,6.32,19.44192,-70.6503,PV,,5.745,Irr.txt,TEMPPV.txt,0,326751,2150557
110,6298393,151523,VOLG101,8.2,9.18,19.45268,-70.6504,PV,,8.345,Irr.txt,TEMPPV.txt,0,326752,2151748
230,8384600,162263,VOLG101,5,3.6,19.44472,-70.65025,PV,,3.273,Irr.txt,TEMPPV.txt,0,326759,2150867
169,8093028,149748,VOLG101,0,8.45,19.44232,-70.65022,PV,,7.682,Irr.txt,TEMPPV.txt,0,326760,2150601
127,6421558,153974,VOLG101,6,6.97,19.44282,-70.65009,PV,,6.336,Irr.txt,TEMPPV.txt,0,326774,2150656
173,8109644,106905,VOLG101,8.8,5.98,19.44658,-70.6501,PV,,5.436,Irr.txt,TEMPPV.txt,0,326777,2151072
310,8667306,172653,VOLG101,6.3,7,19.45674,-70.65015,PV,,6.364,Irr.txt,TEMPPV.txt,0,326782,2152197
352,8832214,153955,VOLG101,0,5.94,19.45576,-70.65005,PV,,5.4,Irr.txt,TEMPPV.txt,0,326792,2152089
21,4139531,106905,VOLG101,5,4.16,19.4465,-70.64995,PV,,3.782,Irr.txt,TEMPPV.txt,0,326793,2151064
66,6092058,152397,VOLG101,0,15.18,19.45258,-70.65001,PV,,13.8,Irr.txt,TEMPPV.txt,0,326793,2151736
74,6121710,152397,VOLG101,0,8.82,19.45254,-70.6499,PV,,8.018,Irr.txt,TEMPPV.txt,0,326804,2151732
175,8115046,164372,VOLG101,0,9,19.4551,-70.64989,PV,,8.182,Irr.txt,TEMPPV.txt,0,326808,2152015
211,8275946,153973,VOLG101,0,5.12,19.44034,-70.64971,PV,,4.655,Irr.txt,TEMPPV.txt,0,326811,2150381
89,6179102,152397,VOLG101,0,5.11,19.45261,-70.6498,PV,,4.645,Irr.txt,TEMPPV.txt,0,326815,2151740
293,8583188,106903,VOLG101,0,5.4,19.44586,-70.64968,PV,,4.909,Irr.txt,TEMPPV.txt,0,326820,2150992
63,6086949,151524,VOLG101,23,24.3,19.453,-70.64966,PV,,22.091,Irr.txt,TEMPPV.txt,0,326830,2151783
65,6091977,152397,VOLG101,0,13.32,19.45257,-70.64963,PV,,12.109,Irr.txt,TEMPPV.txt,0,326833,2151735
13,2255501,212362,VOLG101,0,2.65,19.44702,-70.64951,PV,,2.409,Irr.txt,TEMPPV.txt,0,326839,2151121
18,4063074,106905,VOLG101,7.2,7,19.44646,-70.64948,PV,,6.364,Irr.txt,TEMPPV.txt,0,326842,2151059
19,4063553,212362,VOLG101,0,6,19.44708,-70.64944,PV,,5.455,Irr.txt,TEMPPV.txt,0,326847,2151127
357,8860877,152456,VOLG101,0,11.88,19.43885,-70.64897,PV,,10.8,Irr.txt,TEMPPV.txt,0,326887,2150216
68,6096439,151506,VOLG101,0,9.12,19.44001,-70.64895,PV,,8.291,Irr.txt,TEMPPV.txt,0,326891,2150344
56,6024061,151506,VOLG101,0,4.55,19.43997,-70.64885,PV,,4.136,Irr.txt,TEMPPV.txt,0,326901,2150339
356,8859891,153963,VOLG101,0,10.865,19.44094,-70.64885,PV,,9.877,Irr.txt,TEMPPV.txt,0,326902,2150447
331,8713738,153954,VOLG101,0,10.1,19.45672,-70.64894,PV,,9.182,Irr.txt,TEMPPV.txt,0,326910,2152194
82,6138887,153961,VOLG101,0,5.92,19.43833,-70.64873,PV,,5.382,Irr.txt,TEMPPV.txt,0,326912,2150158
341,8781877,153953,VOLG101,0,6.82,19.45608,-70.64879,PV,,6.2,Irr.txt,TEMPPV.txt,0,326925,2152123
336,8735871,153953,VOLG101,0,7.56,19.45632,-70.64873,PV,,6.873,Irr.txt,TEMPPV.txt,0,326931,2152149
58,6029955,153960,VOLG101,0,5.83,19.43817,-70.64843,PV,,5.3,Irr.txt,TEMPPV.txt,0,326943,2150140
334,8733574,152456,VOLG101,0,6.84,19.43993,-70.64844,PV,,6.218,Irr.txt,TEMPPV.txt,0,326944,2150335
101,6235435,216182,VOLG101,16,16.985,19.44735,-70.6482,PV,,15.441,Irr.txt,TEMPPV.txt,0,326977,2151156
372,8939501,153964,VOLG101,0,14.7,19.43885,-70.64811,PV,,13.364,Irr.txt,TEMPPV.txt,0,326978,2150215
364,8872100,153962,VOLG101,0,10.89,19.43828,-70.64768,PV,,9.9,Irr.txt,TEMPPV.txt,0,327022,2150151
205,8243903,212373,VOLG101,0,11.88,19.44958,-70.64759,PV,,10.8,Irr.txt,TEMPPV.txt,0,327044,2151402
362,8871158,153962,VOLG101,0,12.78,19.43828,-70.64746,PV,,11.618,Irr.txt,TEMPPV.txt,0,327045,2150151
134,6507030,153966,VOLG101,12.7,14.4,19.43797,-70.64716,PV,,13.091,Irr.txt,TEMPPV.txt,0,327077,2150116
312,8674745,153967,VOLG101,0,4.56,19.43861,-70.64652,PV,,4.145,Irr.txt,TEMPPV.txt,0,327144,2150187
345,8790875,153967,VOLG101,0,4,19.43861,-70.64652,PV,,3.636,Irr.txt,TEMPPV.txt,0,327144,2150187
304,8629639,172642,VOLG101,13.95,10,19.44647,-70.64644,PV,,9.091,Irr.txt,TEMPPV.txt,0,327161,2151057
20,4075513,207728,VOLG101,0,31.68,19.44873,-70.64593,PV,,28.8,Irr.txt,TEMPPV.txt,0,327217,2151306
360,8868852,207728,VOLG101,13,14.8,19.45055,-70.64485,PV,,13.455,Irr.txt,TEMPPV.txt,0,327332,2151507
358,8861192,209258,VOLG101,0,20.46,19.43229,-70.64427,PV,,18.6,Irr.txt,TEMPPV.txt,0,327374,2149485
320,8687082,209259,VOLG101,8,8.19,19.43356,-70.64248,PV,,7.445,Irr.txt,TEMPPV.txt,0,327563,2149624
189,8162032,212380,VOLG101,9,8.2,19.45033,-70.64154,PV,,7.455,Irr.txt,TEMPPV.txt,0,327680,2151479
27,5116373,205296,VOLG101,0,8.68,19.44079,-70.63859,PV,,7.891,Irr.txt,TEMPPV.txt,0,327980,2150420
335,8734450,212393,VOLG101,7,6.8,19.43859,-70.63855,PV,,6.182,Irr.txt,TEMPPV.txt,0,327984,2150191
16,2255903,205295,VOLG101,5,6.6,19.44101,-70.63542,PV,,6,Irr.txt,TEMPPV.txt,0,328312,2150441
10,2255438,204794,VOLG101,0,5,19.4413,-70.63454,PV,,4.545,Irr.txt,TEMPPV.txt,0,328406,2150481
148,6638889,204794,VOLG101,8,10.375,19.44168,-70.63442,PV,,9.432,Irr.txt,TEMPPV.txt,0,328424,2150512
125,6394236,204793,VOLG101,0,13.2,19.44026,-70.63035,PV,,12,Irr.txt,TEMPPV.txt,0,328844,2150353
113,6312758,215323,VOLG101,11.5,12.95,19.44713,-70.62827,PV,,11.773,Irr.txt,TEMPPV.txt,0,329070,2151112
5,2223646,162360,VOLG101,6,6,19.44656,-70.66823,PV,,5.455,Irr.txt,TEMPPV.txt,0,,
6,2223743,195056,VOLG101,0,42,19.44674,-70.66528,PV,,38.182,Irr.txt,TEMPPV.txt,0,,
7,2223809,163631,VOLG101,0,11.84,19.44462,-70.66193,PV,,10.764,Irr.txt,TEMPPV.txt,0,,
8,2225195,102926,VOLG101,0,3.96,19.4536,-70.6679,PV,,3.6,Irr.txt,TEMPPV.txt,0,,
9,2254789,222465,VOLG101,0,7.92,19.45178,-70.65832,PV,,7.2,Irr.txt,TEMPPV.txt,0,,
11,2255487,212364,VOLG101,0,6.29,19.44694,-70.65196,PV,,5.718,Irr.txt,TEMPPV.txt,0,,
12,2255491,106905,VOLG101,0,7.14,19.44668,-70.65033,PV,,6.491,Irr.txt,TEMPPV.txt,0,,
15,2255874,204797,VOLG101,0,7.5,19.44086,-70.63785,PV,,6.818,Irr.txt,TEMPPV.txt,0,,
22,4641790,215324,VOLG101,15.4,16,19.45178,-70.62764,PV,,14.545,Irr.txt,TEMPPV.txt,0,,
24,5052993,212668,VOLG101,0,5.28,19.4451,-70.66195,PV,,4.8,Irr.txt,TEMPPV.txt,0,,
26,5096541,171620,VOLG101,7,7.82,19.44703,-70.66758,PV,,7.109,Irr.txt,TEMPPV.txt,0,,
30,5148840,228244,VOLG101,0,24.75,19.45008,-70.65473,PV,,22.5,Irr.txt,TEMPPV.txt,0,,
31,5152962,212671,VOLG101,0,240.24,19.4465,-70.66681,PV,,218.4,Irr.txt,TEMPPV.txt,0,,
32,5158048,218749,VOLG101,0,6.84,19.44946,-70.66287,PV,,6.218,Irr.txt,TEMPPV.txt,0,,
33,5161562,164112,VOLG101,0,18.48,19.44809,-70.64996,PV,,16.8,Irr.txt,TEMPPV.txt,0,,
34,5162637,171638,VOLG101,0,5.11,19.4507,-70.66753,PV,,4.645,Irr.txt,TEMPPV.txt,0,,
35,5208712,N30863,VOLG101,0,193.44,19.43837,-70.62609,PV,,175.855,Irr.txt,TEMPPV.txt,0,,
36,5243469,164373,VOLG101,0,6.3,19.45627,-70.65199,PV,,5.727,Irr.txt,TEMPPV.txt,0,,
39,5271517,172727,VOLG101,0,29.12,19.45174,-70.6573,PV,,26.473,Irr.txt,TEMPPV.txt,0,,
41,5292320,153976,VOLG101,5,39.69,19.4414,-70.65271,PV,,36.082,Irr.txt,TEMPPV.txt,0,,
43,5306153,212353,VOLG101,0,7.28,19.4545,-70.65188,PV,,6.618,Irr.txt,TEMPPV.txt,0,,
44,5318122,210198,VOLG101,6,5.655,19.44452,-70.66413,PV,,5.141,Irr.txt,TEMPPV.txt,0,,
45,5318841,215697,VOLG101,10,8.88,19.44503,-70.66183,PV,,8.073,Irr.txt,TEMPPV.txt,0,,
48,5348951,164104,VOLG101,0,20.065,19.45616,-70.65187,PV,,18.241,Irr.txt,TEMPPV.txt,0,,
50,6005632,106908,VOLG101,0,45.57,19.4477,-70.65081,PV,,41.427,Irr.txt,TEMPPV.txt,0,,
51,6005637,195381,VOLG101,0,276.9,19.43584,-70.63393,PV,,251.727,Irr.txt,TEMPPV.txt,0,,
52,6005638,212397,VOLG101,0,133.92,19.43459,-70.63507,PV,,121.745,Irr.txt,TEMPPV.txt,0,,
53,6005639,207396,VOLG101,0,113.6,19.43873,-70.63018,PV,,103.273,Irr.txt,TEMPPV.txt,0,,
55,6011353,151523,VOLG101,0,11.385,19.45272,-70.6505,PV,,10.35,Irr.txt,TEMPPV.txt,0,,
60,6038280,203680,VOLG101,7,7.77,19.45691,-70.6529,PV,,7.064,Irr.txt,TEMPPV.txt,0,,
61,6044821,144903,VOLG101,0,14.84,19.45093,-70.65514,PV,,13.491,Irr.txt,TEMPPV.txt,0,,
62,6079296,153987,VOLG101,0,4.11,19.45212,-70.65485,PV,,3.736,Irr.txt,TEMPPV.txt,0,,
67,6095580,152397,VOLG101,7.7,8.91,19.45261,-70.65012,PV,,8.1,Irr.txt,TEMPPV.txt,0,,
69,6097122,212353,VOLG101,0,8.12,19.45339,-70.65267,PV,,7.382,Irr.txt,TEMPPV.txt,0,,
72,6106786,152395,VOLG101,17.04,15,19.45354,-70.65102,PV,,13.636,Irr.txt,TEMPPV.txt,0,,
76,6130328,151938,VOLG101,25.2,25,19.44736,-70.66118,PV,,22.727,Irr.txt,TEMPPV.txt,0,,
77,6132615,151524,VOLG101,12,10.12,19.45297,-70.64941,PV,,9.2,Irr.txt,TEMPPV.txt,0,,
78,6132618,152633,VOLG101,0,11.385,19.45367,-70.65032,PV,,10.35,Irr.txt,TEMPPV.txt,0,,
79,6132655,151524,VOLG101,0,9.45,19.45316,-70.64978,PV,,8.591,Irr.txt,TEMPPV.txt,0,,
80,6132684,152632,VOLG101,18.2,9,19.45289,-70.65099,PV,,8.182,Irr.txt,TEMPPV.txt,0,,
83,6142110,151523,VOLG101,0,7.125,19.45281,-70.65075,PV,,6.477,Irr.txt,TEMPPV.txt,0,,
86,6157896,152397,VOLG101,11.4,9.54,19.45267,-70.64996,PV,,8.673,Irr.txt,TEMPPV.txt,0,,
87,6161887,161157,VOLG101,0,12.15,19.44617,-70.66835,PV,,11.045,Irr.txt,TEMPPV.txt,0,,
88,6162988,162357,VOLG101,6,6.29,19.44501,-70.664,PV,,5.718,Irr.txt,TEMPPV.txt,0,,
91,6191111,153446,VOLG101,0,9.23,19.45126,-70.65241,PV,,8.391,Irr.txt,TEMPPV.txt,0,,
92,6193651,152395,VOLG101,10,9.345,19.45377,-70.65182,PV,,8.495,Irr.txt,TEMPPV.txt,0,,
93,6200995,152632,VOLG101,0,14.72,19.45285,-70.65087,PV,,13.382,Irr.txt,TEMPPV.txt,0,,
94,6202411,149651,VOLG101,0,10.88,19.44272,-70.65219,PV,,9.891,Irr.txt,TEMPPV.txt,0,,
96,6216413,162360,VOLG101,0,10.4,19.44678,-70.66816,PV,,9.455,Irr.txt,TEMPPV.txt,0,,
97,6221667,153966,VOLG101,0,8.16,19.43811,-70.64715,PV,,7.418,Irr.txt,TEMPPV.txt,0,,
98,6224826,204793,VOLG101,0,22.32,19.4401,-70.63052,PV,,20.291,Irr.txt,TEMPPV.txt,0,,
102,6237585,153974,VOLG101,0,3.63,19.44282,-70.65009,PV,,3.3,Irr.txt,TEMPPV.txt,0,,
103,6240591,152996,VOLG101,16,13.135,19.45225,-70.6553,PV,,11.941,Irr.txt,TEMPPV.txt,0,,
104,6256999,152397,VOLG101,0,8.74,19.45265,-70.65026,PV,,7.945,Irr.txt,TEMPPV.txt,0,,
105,6261931,152397,VOLG101,7,7.29,19.45368,-70.65152,PV,,6.627,Irr.txt,TEMPPV.txt,0,,
107,6283658,228244,VOLG101,0,6.6,19.4506,-70.65654,PV,,6,Irr.txt,TEMPPV.txt,0,,
108,6289167,151512,VOLG101,0,18.36,19.44409,-70.6647,PV,,16.691,Irr.txt,TEMPPV.txt,0,,
109,6290374,152456,VOLG101,7.7,7.98,19.43948,-70.64855,PV,,7.255,Irr.txt,TEMPPV.txt,0,,
111,6301534,204791,VOLG101,103.36,90,19.42936,-70.63548,PV,,81.818,Irr.txt,TEMPPV.txt,0,,
112,6302532,153447,VOLG101,0,9.23,19.45135,-70.65243,PV,,8.391,Irr.txt,TEMPPV.txt,0,,
115,6321178,222465,VOLG101,7,7.92,19.45247,-70.65795,PV,,7.2,Irr.txt,TEMPPV.txt,0,,
116,6326507,152341,VOLG101,7.7,9.25,19.45116,-70.65269,PV,,8.409,Irr.txt,TEMPPV.txt,0,,
118,6340222,153961,VOLG101,7.7,6.09,19.43833,-70.64869,PV,,5.536,Irr.txt,TEMPPV.txt,0,,
119,6343821,153961,VOLG101,8.2,10.235,19.43849,-70.64946,PV,,9.305,Irr.txt,TEMPPV.txt,0,,
121,6359075,151524,VOLG101,8.2,8.14,19.45304,-70.64943,PV,,7.4,Irr.txt,TEMPPV.txt,0,,
122,6362241,153986,VOLG101,11.4,12.16,19.44236,-70.65056,PV,,11.055,Irr.txt,TEMPPV.txt,0,,
124,6378420,149834,VOLG101,7.7,8.91,19.45649,-70.64929,PV,,8.1,Irr.txt,TEMPPV.txt,0,,
126,6404063,103254,VOLG101,480,501.27,19.44874,-70.66618,PV,,455.7,Irr.txt,TEMPPV.txt,0,,
129,6462159,151524,VOLG101,7.6,8.64,19.45294,-70.64952,PV,,7.855,Irr.txt,TEMPPV.txt,0,,
130,6465580,204793,VOLG101,7,6.9,19.44072,-70.62998,PV,,6.273,Irr.txt,TEMPPV.txt,0,,
131,6469873,220672,VOLG101,10,11.31,19.4544,-70.65192,PV,,10.282,Irr.txt,TEMPPV.txt,0,,
133,6488688,220672,VOLG101,12.5,12.015,19.4544,-70.65192,PV,,10.923,Irr.txt,TEMPPV.txt,0,,
136,6533907,212353,VOLG101,12.5,13.795,19.4544,-70.65192,PV,,12.541,Irr.txt,TEMPPV.txt,0,,
137,6538052,221620,VOLG101,420,484,19.44904,-70.65273,PV,,440,Irr.txt,TEMPPV.txt,0,,
138,6560684,224016,VOLG101,17.2,15.64,19.45417,-70.65257,PV,,14.218,Irr.txt,TEMPPV.txt,0,,
144,6595909,172724,VOLG101,7,7.6,19.44502,-70.66415,PV,,6.909,Irr.txt,TEMPPV.txt,0,,
149,6661606,212398,VOLG101,100,111.15,19.43519,-70.63442,PV,,101.045,Irr.txt,TEMPPV.txt,0,,
152,6705337,152400,VOLG101,18,22,19.45293,-70.65507,PV,,20,Irr.txt,TEMPPV.txt,0,,
153,6737595,228683,VOLG101,7.7,8.03,19.44836,-70.66385,PV,,7.3,Irr.txt,TEMPPV.txt,0,,
154,6748812,228683,VOLG101,7.7,8.03,19.44869,-70.66372,PV,,7.3,Irr.txt,TEMPPV.txt,0,,
155,8000224,153980,VOLG101,0,7.6,19.44153,-70.65324,PV,,6.909,Irr.txt,TEMPPV.txt,0,,
156,8014701,164375,VOLG101,0,69.12,19.454,-70.65637,PV,,62.836,Irr.txt,TEMPPV.txt,0,,
157,8053056,172734,VOLG101,0,62.13,19.44446,-70.66765,PV,,56.482,Irr.txt,TEMPPV.txt,0,,
159,8063541,204797,VOLG101,0,6.4,19.4401,-70.63776,PV,,5.818,Irr.txt,TEMPPV.txt,0,,
161,8067718,194667,VOLG101,7,7.26,19.45742,-70.65241,PV,,6.6,Irr.txt,TEMPPV.txt,0,,
164,8074846,164369,VOLG101,7.29,7,19.43629,-70.6383,PV,,6.364,Irr.txt,TEMPPV.txt,0,,
165,8077197,153423,VOLG101,0,8.16,19.44831,-70.66147,PV,,7.418,Irr.txt,TEMPPV.txt,0,,
166,8079766,153985,VOLG101,0,11.73,19.44202,-70.65089,PV,,10.664,Irr.txt,TEMPPV.txt,0,,
167,8083284,215684,VOLG101,0,8.58,19.45204,-70.66457,PV,,7.8,Irr.txt,TEMPPV.txt,0,,
168,8086093,215692,VOLG101,0,18.46,19.44815,-70.6665,PV,,16.782,Irr.txt,TEMPPV.txt,0,,
170,8098180,212668,VOLG101,0,6.46,19.44511,-70.66322,PV,,5.873,Irr.txt,TEMPPV.txt,0,,
171,8104041,172655,VOLG101,0,10.26,19.45484,-70.64986,PV,,9.327,Irr.txt,TEMPPV.txt,0,,
172,8105158,164372,VOLG101,0,8.25,19.45514,-70.6498,PV,,7.5,Irr.txt,TEMPPV.txt,0,,
178,8141505,212353,VOLG101,9,10.2,19.45274,-70.65391,PV,,9.273,Irr.txt,TEMPPV.txt,0,,
179,8148892,153405,VOLG101,0,19.88,19.44754,-70.66002,PV,,18.073,Irr.txt,TEMPPV.txt,0,,
182,8150946,153406,VOLG101,0,16.74,19.44987,-70.65948,PV,,15.218,Irr.txt,TEMPPV.txt,0,,
183,8151821,103256,VOLG101,0,7.92,19.44891,-70.66326,PV,,7.2,Irr.txt,TEMPPV.txt,0,,
184,8157045,153978,VOLG101,0,5,19.44067,-70.65163,PV,,4.545,Irr.txt,TEMPPV.txt,0,,
185,8157493,172647,VOLG101,0,448.12,19.44924,-70.65276,PV,,407.382,Irr.txt,TEMPPV.txt,0,,
186,8159466,153427,VOLG101,0,14.1,19.44701,-70.66244,PV,,12.818,Irr.txt,TEMPPV.txt,0,,
187,8161326,153974,VOLG101,0,15.84,19.44343,-70.64993,PV,,14.4,Irr.txt,TEMPPV.txt,0,,
192,8171103,153403,VOLG101,0,7.65,19.44774,-70.66033,PV,,6.955,Irr.txt,TEMPPV.txt,0,,
193,8181416,215696,VOLG101,0,6.5,19.44711,-70.66282,PV,,5.909,Irr.txt,TEMPPV.txt,0,,
196,8197471,215697,VOLG101,0,2.115,19.44503,-70.66183,PV,,1.923,Irr.txt,TEMPPV.txt,0,,
198,8205987,153249,VOLG101,0,4.32,19.45447,-70.66753,PV,,3.927,Irr.txt,TEMPPV.txt,0,,
199,8209459,213904,VOLG101,0,7.15,19.45025,-70.6641,PV,,6.5,Irr.txt,TEMPPV.txt,0,,
201,8217169,212961,VOLG101,0,11.52,19.45403,-70.66428,PV,,10.473,Irr.txt,TEMPPV.txt,0,,
208,8260701,215451,VOLG101,0,12.21,19.44692,-70.66665,PV,,11.1,Irr.txt,TEMPPV.txt,0,,
212,8283987,172654,VOLG101,0,13.845,19.45546,-70.65132,PV,,12.586,Irr.txt,TEMPPV.txt,0,,
213,8310514,164105,VOLG101,0,7.56,19.44375,-70.65251,PV,,6.873,Irr.txt,TEMPPV.txt,0,,
215,8317433,165607,VOLG101,849.045,682,19.44189,-70.67086,PV,,620,Irr.txt,TEMPPV.txt,0,,
218,8345531,164104,VOLG101,10,4.5,19.45096,-70.65327,PV,,4.091,Irr.txt,TEMPPV.txt,0,,
221,8373410,172729,VOLG101,0,27,19.45088,-70.65664,PV,,24.545,Irr.txt,TEMPPV.txt,0,,
222,8374042,162061,VOLG101,21,39.7,19.43893,-70.62945,PV,,36.091,Irr.txt,TEMPPV.txt,0,,
224,8377449,222465,VOLG101,0,12.24,19.4529,-70.65785,PV,,11.127,Irr.txt,TEMPPV.txt,0,,
225,8378167,215697,VOLG101,4,3.56,19.44503,-70.66183,PV,,3.236,Irr.txt,TEMPPV.txt,0,,
226,8378310,212961,VOLG101,33,30.875,19.45393,-70.66396,PV,,28.068,Irr.txt,TEMPPV.txt,0,,
227,8380867,153984,VOLG101,0,11.16,19.44235,-70.65143,PV,,10.145,Irr.txt,TEMPPV.txt,0,,
228,8381771,212668,VOLG101,0,6.36,19.445,-70.66273,PV,,5.782,Irr.txt,TEMPPV.txt,0,,
231,8389894,162359,VOLG101,5,6.03,19.44795,-70.66836,PV,,5.482,Irr.txt,TEMPPV.txt,0,,
232,8394067,153976,VOLG101,0,8.14,19.44232,-70.65271,PV,,7.4,Irr.txt,TEMPPV.txt,0,,
233,8396516,153979,VOLG101,0,8.1,19.44087,-70.6531,PV,,7.364,Irr.txt,TEMPPV.txt,0,,
235,8397083,164373,VOLG101,0,10.92,19.45622,-70.65206,PV,,9.927,Irr.txt,TEMPPV.txt,0,,
236,8400529,164844,VOLG101,0,281.25,19.45428,-70.66539,PV,,255.682,Irr.txt,TEMPPV.txt,0,,
237,8403283,171613,VOLG101,0,14,19.44623,-70.66716,PV,,12.727,Irr.txt,TEMPPV.txt,0,,
238,8406314,165139,VOLG101,0,5.5,19.44926,-70.65012,PV,,5,Irr.txt,TEMPPV.txt,0,,
239,8417850,164372,VOLG101,0,10.89,19.45498,-70.64939,PV,,9.9,Irr.txt,TEMPPV.txt,0,,
241,8419003,164372,VOLG101,10,10.5,19.4552,-70.65005,PV,,9.545,Irr.txt,TEMPPV.txt,0,,
