fid,NIC,CT,Circuito,kW INSTALA,kWp INSTAL,X1,Y1,TECH,DSSName,KVA,CURVE1,CURVE2,LV_GROUP,CARGAS_BT_,CARGAS_B_1
346,8794286,153417,VOLG101,0,14.08,19.44584,-70.6576,PV,,12.8,Irr.txt,TEMPPV.txt,0,,
348,8806341,204797,VOLG101,0,11.16,19.44163,-70.63792,PV,,10.145,Irr.txt,TEMPPV.txt,0,,
350,8811500,163631,VOLG101,10,10.935,19.44505,-70.66124,PV,,9.941,Irr.txt,TEMPPV.txt,0,,
351,8826161,153415,VOLG101,0,5.52,19.44643,-70.6578,PV,,5.018,Irr.txt,TEMPPV.txt,0,,
354,8853186,206137,VOLG101,0,67.2,19.45405,-70.66428,PV,,61.091,Irr.txt,TEMPPV.txt,0,,
355,8854053,152421,VOLG101,0,10.26,19.45174,-70.65488,PV,,9.327,Irr.txt,TEMPPV.txt,0,,
359,8864556,151506,VOLG101,0,11.16,19.43955,-70.64892,PV,,10.145,Irr.txt,TEMPPV.txt,0,,
361,8870358,152341,VOLG101,0,11.56,19.45094,-70.65214,PV,,10.509,Irr.txt,TEMPPV.txt,0,,
363,8871181,153964,VOLG101,0,19.825,19.43869,-70.64791,PV,,18.023,Irr.txt,TEMPPV.txt,0,,
365,8879662,153961,VOLG101,0,9.01,19.43833,-70.64873,PV,,8.191,Irr.txt,TEMPPV.txt,0,,
366,8884289,153963,VOLG101,0,6.6,19.4402,-70.64881,PV,,6,Irr.txt,TEMPPV.txt,0,,
367,8893511,153964,VOLG101,0,9.09,19.43869,-70.6481,PV,,8.264,Irr.txt,TEMPPV.txt,0,,
368,8900678,164374,VOLG101,0,4.56,19.4576,-70.65089,PV,,4.145,Irr.txt,TEMPPV.txt,0,,
369,8934551,152996,VOLG101,0,11.34,19.45225,-70.6553,PV,,10.309,Irr.txt,TEMPPV.txt,0,,
370,8935285,152343,VOLG101,0,10.53,19.45187,-70.65542,PV,,9.573,Irr.txt,TEMPPV.txt,0,,
371,8938885,152423,VOLG101,0,7.26,19.45187,-70.65542,PV,,6.6,Irr.txt,TEMPPV.txt,0,,
373,8942888,152996,VOLG101,0,11.22,19.45228,-70.65538,PV,,10.2,Irr.txt,TEMPPV.txt,0,,
374,8942892,152996,VOLG101,0,13.86,19.45245,-70.65532,PV,,12.6,Irr.txt,TEMPPV.txt,0,,
375,8946919,153957,VOLG101,9.24,10,19.43964,-70.65158,PV,,9.091,Irr.txt,TEMPPV.txt,0,,
376,8948281,164372,VOLG101,0,8.745,19.45517,-70.64993,PV,,7.95,Irr.txt,TEMPPV.txt,0,,
377,8953320,152423,VOLG101,0,17.05,19.45187,-70.65542,PV,,15.5,Irr.txt,TEMPPV.txt,0,,
379,8957120,152451,VOLG101,0,9.18,19.44327,-70.65226,PV,,8.345,Irr.txt,TEMPPV.txt,0,,
380,8959091,162357,VOLG101,0,4.55,19.44462,-70.66445,PV,,4.136,Irr.txt,TEMPPV.txt,0,,
381,8961767,153960,VOLG101,0,8.16,19.4387,-70.64839,PV,,7.418,Irr.txt,TEMPPV.txt,0,,
382,8967188,215687,VOLG101,0,5.92,19.45077,-70.66364,PV,,5.382,Irr.txt,TEMPPV.txt,0,,
385,8968643,151506,VOLG101,0,12.39,19.43933,-70.64908,PV,,11.264,Irr.txt,TEMPPV.txt,0,,
388,8969905,153987,VOLG101,0,15,19.45212,-70.65485,PV,,13.636,Irr.txt,TEMPPV.txt,0,,
389,8974451,152421,VOLG101,0,11.78,19.45196,-70.6548,PV,,10.709,Irr.txt,TEMPPV.txt,0,,
390,8974516,152421,VOLG101,0,9.765,19.45189,-70.65489,PV,,8.877,Irr.txt,TEMPPV.txt,0,,
391,8975464,215692,VOLG101,0,22.11,19.44653,-70.66701,PV,,20.1,Irr.txt,TEMPPV.txt,0,,
393,8985363,151523,VOLG101,0,9.6,19.45283,-70.65042,PV,,8.727,Irr.txt,TEMPPV.txt,0,,
394,8990204,153966,VOLG101,0,9,19.43839,-70.64705,PV,PV1FNOV1,8.182,Irr.txt,TEMPPV.txt,496,,
